job_title,employment_type,experience_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,work_year,remote_ratio
Data Analyst,Full-Time,Senior,131000,United States Dollar,United States,131000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,168000,United States Dollar,United States,168000,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,250000,United States Dollar,United States,250000,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,140000,United States Dollar,United States,140000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,145000,United States Dollar,United States,145000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,222000,United States Dollar,United States,222000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,166500,United States Dollar,United States,166500,United States,Medium,2023,
Data Engineer,Full-Time,Senior,205600,United States Dollar,United States,205600,United States,Medium,2023,
Data Engineer,Full-Time,Senior,105700,United States Dollar,United States,105700,United States,Medium,2023,
Business Intelligence Developer,Full-Time,Senior,138000,United States Dollar,United States,138000,United States,Medium,2023,
Business Intelligence Developer,Full-Time,Senior,67000,United States Dollar,United States,67000,United States,Medium,2023,
Research Engineer,Full-Time,Senior,211200,United States Dollar,United States,211200,United States,Medium,2023,
Research Engineer,Full-Time,Senior,176000,United States Dollar,United States,176000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,230000,United States Dollar,United States,230000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,135000,United States Dollar,United States,135000,United States,Medium,2023,
Data Analyst,Full-Time,Mid,60000,United States Dollar,United States,60000,United States,Medium,2023,
Business Intelligence Analyst,Full-Time,Senior,200000,United States Dollar,United States,200000,United States,Medium,2023,
Business Intelligence Analyst,Full-Time,Senior,180000,United States Dollar,United States,180000,United States,Medium,2023,
BI Analyst,Full-Time,Senior,360000,Turkish Lira,Turkey,18381,Turkey,Large,2023,
Data Scientist,Full-Time,Senior,155000,United States Dollar,United States,155000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,139500,United States Dollar,United States,139500,United States,Medium,2023,
Research Scientist,Full-Time,Entry,200000,United States Dollar,United States,200000,United States,Medium,2023,
Research Scientist,Full-Time,Entry,120000,United States Dollar,United States,120000,United States,Medium,2023,
Data Scientist,Full-Time,Executive,126500,United States Dollar,United States,126500,United States,Medium,2023,
Data Scientist,Full-Time,Executive,78000,United States Dollar,United States,78000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,157750,United States Dollar,United States,157750,United States,Medium,2023,
Data Scientist,Full-Time,Senior,104650,United States Dollar,United States,104650,United States,Medium,2023,
Data Scientist,Full-Time,Senior,176000,United States Dollar,United States,176000,United States,Medium,2023,
Data Scientist,Full-Time,Senior,133000,United States Dollar,United States,133000,United States,Medium,2023,
Data Analyst,Full-Time,Mid,120000,United States Dollar,United States,120000,United States,Medium,2023,
Machine Learning Specialist,Full-Time,Mid,70000,United States Dollar,France,70000,France,Medium,2023,
Machine Learning Specialist,Full-Time,Mid,40000,United States Dollar,France,40000,France,Medium,2023,
Research Scientist,Full-Time,Mid,158080,United States Dollar,United States,158080,United States,Medium,2023,
Data Analyst,Full-Time,Senior,182000,United States Dollar,United States,182000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,150000,United States Dollar,United States,150000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,171250,United States Dollar,United States,171250,United States,Medium,2023,
Data Engineer,Full-Time,Senior,113750,United States Dollar,United States,113750,United States,Medium,2023,
Data Engineer,Full-Time,Senior,252000,United States Dollar,United States,252000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,129000,United States Dollar,United States,129000,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,231000,United States Dollar,United States,231000,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Senior,200800,United States Dollar,United States,200800,United States,Medium,2023,
Research Scientist,Full-Time,Entry,250800,United States Dollar,United States,250800,United States,Medium,2023,
Research Scientist,Full-Time,Entry,167200,United States Dollar,United States,167200,United States,Medium,2023,
Data Scientist,Full-Time,Senior,159100,United States Dollar,United States,159100,United States,Medium,2023,
Data Scientist,Full-Time,Senior,120160,United States Dollar,United States,120160,United States,Medium,2023,
Analytics Engineer,Full-Time,Senior,140000,United States Dollar,United States,140000,United States,Medium,2023,
Analytics Engineer,Full-Time,Senior,110000,United States Dollar,United States,110000,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Mid,165000,United States Dollar,United States,165000,United States,Medium,2023,
Machine Learning Engineer,Full-Time,Mid,149094,United States Dollar,United States,149094,United States,Medium,2023,
Head of Data,Full-Time,Executive,290000,United States Dollar,United States,290000,United States,Large,2023,
Business Intelligence Engineer,Full-Time,Senior,247500,United States Dollar,United States,247500,United States,Medium,2023,
Business Intelligence Engineer,Full-Time,Senior,172200,United States Dollar,United States,172200,United States,Medium,2023,
Data Engineer,Full-Time,Senior,175000,United States Dollar,United States,175000,United States,Medium,2023,
Data Engineer,Full-Time,Senior,130000,United States Dollar,United States,130000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,85000,United States Dollar,United States,85000,United States,Medium,2023,
Data Analyst,Full-Time,Senior,72250,United States Dollar,United States,72250,United States,Medium,2023,
