STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2014,,24.6,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2015,,23.8,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2016,,23.8,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2017,,22.7,,b,break in time series,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2018,,23.1,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2019,,23.2,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2020,,22.2,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2021,,20.6,,b,break in time series,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2022,,18.7,,,,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2023,,19.5,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BE,Belgium,2024,,19.1,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2004,,56.4,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2005,,55.0,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2006,,56.9,,be,"break in time series, estimated",,
