unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,Geopolitical entity (reporting)
PERCENTAGE,AT,OBERÖSTERREICH,2023-Q3,11.3,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2023-Q4,11.2,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2024-Q1,11.2,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2024-Q2,11.2,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2024-Q3,11.1,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2024-Q4,11.1,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2025-Q1,11.0,Austria
PERCENTAGE,AT,OBERÖSTERREICH,2025-Q2,10.8,Austria
PERCENTAGE,AT,SALZBURG,2019-Q4,11.2,Austria
PERCENTAGE,AT,SALZBURG,2020-Q1,11.5,Austria
PERCENTAGE,AT,SALZBURG,2020-Q2,12.1,Austria
PERCENTAGE,AT,SALZBURG,2020-Q3,12.4,Austria
PERCENTAGE,AT,SALZBURG,2020-Q4,13.2,Austria
PERCENTAGE,AT,SALZBURG,2021-Q1,13.8,Austria
PERCENTAGE,AT,SALZBURG,2021-Q2,12.6,Austria
PERCENTAGE,AT,SALZBURG,2021-Q3,11.0,Austria
PERCENTAGE,AT,SALZBURG,2021-Q4,8.4,Austria
PERCENTAGE,AT,SALZBURG,2022-Q1,6.8,Austria
PERCENTAGE,AT,SALZBURG,2022-Q2,6.0,Austria
PERCENTAGE,AT,SALZBURG,2022-Q3,6.1,Austria
PERCENTAGE,AT,SALZBURG,2022-Q4,6.7,Austria
PERCENTAGE,AT,SALZBURG,2023-Q1,7.0,Austria
PERCENTAGE,AT,SALZBURG,2023-Q2,6.8,Austria
PERCENTAGE,AT,SALZBURG,2023-Q3,7.4,Austria
PERCENTAGE,AT,SALZBURG,2023-Q4,7.6,Austria
PERCENTAGE,AT,SALZBURG,2024-Q1,7.6,Austria
PERCENTAGE,AT,SALZBURG,2024-Q2,7.4,Austria
PERCENTAGE,AT,SALZBURG,2024-Q3,6.5,Austria
PERCENTAGE,AT,SALZBURG,2024-Q4,6.5,Austria
PERCENTAGE,AT,SALZBURG,2025-Q1,7.4,Austria
PERCENTAGE,AT,SALZBURG,2025-Q2,7.8,Austria
PERCENTAGE,AT,TIROL,2019-Q4,7.2,Austria
PERCENTAGE,AT,TIROL,2020-Q1,7.4,Austria
PERCENTAGE,AT,TIROL,2020-Q2,7.7,Austria
PERCENTAGE,AT,TIROL,2020-Q3,7.9,Austria
PERCENTAGE,AT,TIROL,2020-Q4,8.7,Austria
PERCENTAGE,AT,TIROL,2021-Q1,9.2,Austria
