job_title,employment_type,experience_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,work_year,remote_type,role_category,salary_band,international_job
Data Scientist,FT,SE,120096,USD,United States,120096,United States,M,2023,Unknown,Data Scientist,Medium,False
Machine Learning Engineer,FT,SE,253000,USD,United States,253000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,168000,USD,United States,168000,United States,M,2023,Unknown,ML / AI Engineer,High,False
Analytics Engineer,FT,SE,178600,USD,United States,178600,United States,M,2023,Unknown,Data Analyst / BI,High,False
Analytics Engineer,FT,SE,142880,USD,United States,142880,United States,M,2023,Unknown,Data Analyst / BI,High,False
Data Science Manager,FT,SE,255000,USD,United States,255000,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Science Manager,FT,SE,169000,USD,United States,169000,United States,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,MI,100000,USD,United States,100000,United States,M,2023,Unknown,Data Scientist,Medium,False
Data Engineer,FT,MI,151410,USD,United States,151410,United States,M,2023,Unknown,Data Engineer,High,False
Data Engineer,FT,MI,144200,USD,United States,144200,United States,M,2023,Unknown,Data Engineer,High,False
Data Scientist,FT,EN,151410,USD,United States,151410,United States,M,2023,Unknown,Data Scientist,High,False
Data Scientist,FT,EN,115360,USD,United States,115360,United States,M,2023,Unknown,Data Scientist,Medium,False
Analytics Engineer,FT,MI,193170,USD,United States,193170,United States,M,2023,Unknown,Data Analyst / BI,Very High,False
Analytics Engineer,FT,MI,116480,USD,United States,116480,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Director of Data Science,FT,Executive,200000,GBP,United Kingdom,246080,United Kingdom,M,2023,Unknown,Data Scientist,Very High,False
Director of Data Science,FT,Executive,165000,GBP,United Kingdom,203016,United Kingdom,M,2023,Unknown,Data Scientist,Very High,False
Head of Data,FT,Executive,110000,GBP,United Kingdom,135344,United Kingdom,M,2023,Unknown,Management,Medium,False
Head of Data,FT,Executive,90000,GBP,United Kingdom,110736,United Kingdom,M,2023,Unknown,Management,Medium,False
Head of Data,FT,Executive,329500,USD,United States,329500,United States,M,2023,Unknown,Management,Very High,False
Head of Data,FT,Executive,269600,USD,United States,269600,United States,M,2023,Unknown,Management,Very High,False
Data Architect,FT,SE,250500,USD,United States,250500,United States,M,2023,Unknown,Data Architecture / Infrastructure,Very High,False
Data Architect,FT,SE,159500,USD,United States,159500,United States,M,2023,Unknown,Data Architecture / Infrastructure,High,False
Research Scientist,FT,SE,198800,USD,United States,198800,United States,M,2023,Unknown,Research,Very High,False
Research Scientist,FT,SE,105200,USD,United States,105200,United States,M,2023,Unknown,Research,Medium,False
Data Analyst,FT,EN,94035,USD,United States,94035,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Analyst,FT,EN,57920,USD,United States,57920,United States,M,2023,Unknown,Data Analyst / BI,Low,False
Data Analyst,FT,SE,113600,USD,United States,113600,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Scientist,FT,SE,256000,USD,United States,256000,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Analyst,FT,SE,116000,USD,United States,116000,United States,M,2023,Unknown,Data Analyst / BI,Medium,False
Computer Vision Engineer,FT,SE,245000,USD,United Kingdom,245000,United Kingdom,M,2023,Unknown,ML / AI Engineer,Very High,False
Computer Vision Engineer,FT,SE,210000,USD,United Kingdom,210000,United Kingdom,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,283200,USD,United States,283200,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,188800,USD,United States,188800,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Business Data Analyst,FL,MI,36000,USD,GH,36000,GH,S,2023,Unknown,Data Analyst / BI,Low,False
NLP Engineer,FT,MI,2700000,INR,India,32834,India,M,2023,Unknown,ML / AI Engineer,Low,False
Research Scientist,FT,SE,205640,USD,United States,205640,United States,M,2023,Unknown,Research,Very High,False
Research Scientist,FT,SE,142600,USD,United States,142600,United States,M,2023,Unknown,Research,High,False
Data Engineer,FT,SE,193200,USD,United States,193200,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Engineer,FT,SE,156400,USD,United States,156400,United States,M,2023,Unknown,Data Engineer,High,False
Machine Learning Engineer,FT,SE,196000,USD,United States,196000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Machine Learning Engineer,FT,SE,121000,USD,United States,121000,United States,M,2023,Unknown,ML / AI Engineer,Medium,False
Data Engineer,FT,SE,72000,USD,AR,72000,AR,M,2023,Unknown,Data Engineer,Low,False
Data Engineer,FT,SE,48000,USD,AR,48000,AR,M,2023,Unknown,Data Engineer,Low,False
Data Engineer,FT,SE,132300,USD,United States,132300,United States,M,2023,Unknown,Data Engineer,Medium,False
Data Scientist,FT,SE,244000,USD,Canada,244000,Canada,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,197000,USD,Canada,197000,Canada,M,2023,Unknown,Data Scientist,Very High,False
Data Science Manager,FT,SE,328000,USD,United States,328000,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Science Manager,FT,SE,211000,USD,United States,211000,United States,M,2023,Unknown,Data Scientist,Very High,False
