size_emp,size_classes_in_number_of_persons_employed,sector,unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,sector_group
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DE,GERMANY,2016,24.56,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DE,GERMANY,2017,23.62,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DE,GERMANY,2018,25.58,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DE,GERMANY,2019,24.12,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DE,GERMANY,2020,24.97,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DE,GERMANY,2022,25.82,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DE,GERMANY,2024,26.81,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DK,DENMARK,2012,27.35,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DK,DENMARK,2014,25.8,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DK,DENMARK,2015,24.08,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DK,DENMARK,2016,25.98,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DK,DENMARK,2017,25.69,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DK,DENMARK,2018,25.06,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DK,DENMARK,2019,27.59,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DK,DENMARK,2020,30.07,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DK,DENMARK,2022,31.99,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,DK,DENMARK,2024,26.96,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EA,"EURO AREA (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2012,21.43,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EA,"EURO AREA (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2014,21.64,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EA,"EURO AREA (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2015,22.28,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EA,"EURO AREA (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2016,22.12,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EA,"EURO AREA (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2017,20.87,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EA,"EURO AREA (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2018,20.81,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EA,"EURO AREA (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2019,20.78,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EA,"EURO AREA (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2020,19.81,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EA,"EURO AREA (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2022,20.41,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EA,"EURO AREA (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023, EA21-2026)",2024,20.03,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EE,ESTONIA,2012,14.55,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EE,ESTONIA,2014,12.95,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EE,ESTONIA,2015,13.08,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EE,ESTONIA,2016,12.51,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EE,ESTONIA,2017,13.6,INDUSTRY
GE10,10 PERSONS EMPLOYED OR MORE,MANUFACTURING,PERCENTAGE OF ENTERPRISES,EE,ESTONIA,2018,12.42,INDUSTRY
